EntrezGeneID ,gene_name,CD69+_CD69-_log2fc,pval
817 ,CAMK2D ,3.908224116 ,0.014685002 
1647 ,GADD45A ,3.560060748 ,0.02032066 
1901 ,S1PR1 ,-4.881264449 ,0.006484687 
1955 ,MEGF9 ,5.394509019 ,0.00441564 
2043 ,EPHA4 ,-5.730196718 ,0.003486607 
2591 ,GALNT3 ,-3.38533766 ,0.024087524 
2595 ,GANC ,-5.109049649 ,0.005448088 
2635 ,GBP3 ,-6.144331082 ,0.002644247 
2838 ,GPR15 ,2.829498872 ,0.042750171 
2857 ,GPR34 ,-8.052667069 ,0.000879656 
2937 ,GSS ,3.299371014 ,0.026236322 
3310 ,HSPA6 ,-2.802603634 ,0.044009595 
3384 ,ICAM2 ,-3.467960182 ,0.02221301 
3566 ,IL4R ,-3.080580261 ,0.032786152 
3590 ,IL11RA ,-4.479423789 ,0.008952138 
3638 ,INSIG1 ,9.643180989 ,0.000414506 
3640 ,INSL3 ,-18.62786107 ,2.47792E-05 
3678 ,ITGA5 ,-3.123653733 ,0.03135947 
4293 ,MAP3K9 ,5.701837017 ,0.003555349 
4515 ,MTCP1 ,-4.005162055 ,0.013458441 
4528 ,MTIF2 ,-2.735594654 ,0.047335252 
4616 ,GADD45B ,-4.708224746 ,0.007432374 
4621 ,MYH3 ,-4.029960755 ,0.013164347 
4668 ,NAGA ,3.982086603 ,0.013739089 
4734 ,NEDD4 ,3.480574034 ,0.021942045 
4913 ,NTHL1 ,-2.876456267 ,0.040648519 
5367 ,PMCH ,9.218949204 ,0.0005007 
5395 ,PMS2 ,-3.276444454 ,0.026846467 
5830 ,PEX5 ,3.690611349 ,0.017951726 
5914 ,RARA ,-4.639165158 ,0.007856213 
5921 ,RASA1 ,-3.478197316 ,0.021992805 
5932 ,RBBP8 ,-5.149195382 ,0.005286616 
6019 ,RLN2 ,-3.003081042 ,0.03554561 
6314 ,ATXN7 ,-4.113235185 ,0.01223085 
6375 ,XCL1 ,3.749921904 ,0.016983402 
6402 ,SELL ,-9.535111395 ,0.000434621 
6541 ,SLC7A1 ,2.867385589 ,0.041045131 
6843 ,VAMP1 ,2.756772284 ,0.046254287 
6877 ,TAF5 ,4.006716964 ,0.013439774 
7433 ,VIPR1 ,-5.096113773 ,0.005501373 
7476 ,WNT7A ,-22.77170937 ,1.03749E-05 
7678 ,ZNF124 ,-6.067215939 ,0.002780695 
7692 ,ZNF133 ,-3.935841741 ,0.014322594 
8879 ,SGPL1 ,-3.302054084 ,0.026165974 
9046 ,DOK2 ,-3.431161944 ,0.02302607 
9110 ,MTMR4 ,-2.727653048 ,0.047747983 
9136 ,RRP9 ,3.798906349 ,0.016229682 
9200 ,HACD1 ,6.661607006 ,0.001911444 
9425 ,CDYL ,-2.914347379 ,0.039038423 
9531 ,BAG3 ,-2.972686453 ,0.036700037 
9827 ,RGP1 ,3.839030605 ,0.015641473 
9975 ,NR1D2 ,-2.809220234 ,0.043695885 
10077 ,TSPAN32 ,-5.436404846 ,0.004284683 
10172 ,ZNF256 ,2.814572059 ,0.043444003 
10235 ,RASGRP2 ,-4.44346449 ,0.009223383 
10296 ,MAEA ,5.421206591 ,0.004331643 
10420 ,TESK2 ,-2.703846466 ,0.049009886 
10509 ,SEMA4B ,-2.749827452 ,0.046605652 
