gene_name	symbol	chrom	strand	len	reads	RPKM
NM_177327	Wwp1	chr4	-	5070	1007	6.13323320364
NM_177326	Pak2	chr16	-	4099	7672	57.7961145006
NM_177325	Tsr1	chr11	+	3385	1764	16.091920366
NM_177324	Sbf2	chr7	-	7163	35	0.150883260425
NM_177323	Rint1	chr5	+	3265	524	4.95582621115
NM_177322	Agtr1a	chr13	+	2284	0	0.0
NM_177321	Mia2	chr12	+	1628	0	0.0
NM_177320	Pik3r5	chr11	+	4363	2637	18.66349109
NM_177328	Grm7	chr6	+	4181	0	0.0
NM_001164244	Prpsap2	chr11	-	1718	1039	18.6749890139
NM_001164242	Prpsap2	chr11	-	1771	1065	18.5694488354
NM_001164243	Prpsap2	chr11	-	1814	1062	18.0782005935
NM_001164248	Tpm1	chr9	-	1210	322	8.21747645348
NM_001164249	Tpm1	chr9	-	1702	826	14.9860942118
NM_001167910	Mbtps1	chr8	-	4225	4419	32.2972284332
NM_001167913	Smok2b	chr17	+	1584	0	0.0
NM_001167914	Atxn3	chr12	-	1002	278	8.56732103936
NM_001008785	Kbtbd8	chr6	+	4700	385	2.52947760397
NM_001167918	D830031N03Rik	chr4	-	8311	223	0.828551575904
NM_001253803	Gm5480	chr16	+	369	0	0.0
NM_001161540	Islr2	chr9	-	3990	1	0.0077391822014
NM_001161541	Islr2	chr9	-	3881	1	0.00795654135109
NM_001164790	Scg3	chr9	-	2192	0	0.0
NM_001164791	B230120H23Rik	chr2	+	6689	11	0.0507807903751
NM_001164797	Hephl1	chr9	-	5261	0	0.0
NM_001161548	Tmem184a	chr5	-	2039	1	0.0151443535967
NM_001164798	Slc38a10	chr11	-	4589	3962	26.6602599976
NM_001164799	Slc38a10	chr11	-	4568	3959	26.7625427141
NM_001177890	Cacna1g	chr11	-	8082	0	0.0
NM_001177897	9830107B12Rik	chr17	-	3583	5	0.0430914554613
NM_001177896	9830107B12Rik	chr17	-	3730	5	0.0413932131147
NM_001177899	Skap1	chr11	+	2142	5665	81.6673408086
NM_001177898	Skap1	chr11	+	2033	5230	79.438727213
NM_172919	Zfp846	chr9	+	2755	299	3.35133276156
NM_172918	Zfp317	chr9	+	4025	2220	17.031584622
NM_172913	Tox3	chr8	-	3193	0	0.0
NM_172912	Abcc12	chr8	-	4511	1	0.00684534182744
NM_172911	D8Ertd82e	chr8	+	4780	943	6.0918859363
NM_172910	Dlgap2	chr8	+	4509	0	0.0
NM_172916	Hydin	chr8	+	15783	0	0.0
NM_172914	Ccdc113	chr8	+	1271	0	0.0
NM_010587	Itsn1	chr16	+	13976	34	0.075121455169
NM_010586	Itpr2	chr6	-	8232	6807	25.5339707054
NM_010585	Itpr1	chr6	+	9877	4283	13.3903209781
NM_010584	Itln1	chr1	-	1139	0	0.0
NM_010583	Itk	chr11	-	4272	14405	104.1237943
NM_001011721	Olfr102	chr17	-	1027	0	0.0
NM_010581	Cd47	chr16	+	1914	3580	57.7575895513
NM_010580	Itgb5	chr16	+	3253	43	0.408180599537
NM_010589	Jak3	chr8	+	3934	6514	51.1306561035
NM_010588	Jag2	chr12	-	4054	49	0.373233229451
NR_033197	4933427E11Rik	chr15	+	1214	3	0.076308081508
NM_001013384	Podnl1	chr8	+	2080	708	10.5108512425
NM_001013385	Grm4	chr17	-	2975	0	0.0
NM_001013386	Rasl10b	chr11	+	3481	0	0.0
NM_001013387	Zfp182	chrX	-	5920	1091	5.69076970424
NM_001195767	Gm6772	chr12	+	1949	0	0.0
NM_001013381	Rsad1	chr11	-	4151	212	1.57707045062
NM_001013382	Lrrc52	chr1	-	1137	1	0.0271586077252
NM_001013389	Mrs2	chr13	-	2035	671	10.1818354378
NM_011426	Siglec1	chr2	-	6387	1	0.00483471692243
NR_030526	Mir615	chr15	+	92	0	0.0
NM_011425	Sstr5	chr17	-	2733	0	0.0
NR_030524	Mir490	chr6	+	84	0	0.0
NR_030525	Mir676	chrX	+	89	0	0.0
NR_030529	Mir804	chr11	-	95	0	0.0
NM_001002786	Rab44	chr17	+	4105	0	0.0
NM_001002787	Ccin	chr4	+	2030	6	0.0912689763061
NM_023565	Cse1l	chr2	+	3604	2020	17.3075085202
NM_023564	Plscr3	chr11	+	2785	366	4.05811035404
NM_001081084	Cubn	chr2	-	11325	0	0.0
NM_001081085	2010317E24Rik	chr2	+	3121	27	0.267139409983
NM_001081086	Ppig	chr2	+	6297	3518	17.2516289516
NM_001081087	Kbtbd10	chr2	+	2538	33	0.401504381583
NM_001081088	Lrp2	chr2	-	15467	0	0.0
NM_001081089	Gpat2	chr2	+	2628	18	0.211502308107
NM_011980	Zfp146	chr7	-	2030	1464	22.2696302187
NM_011981	Zfp260	chr7	+	3716	2968	24.6635823916
NM_011982	Homer1	chr13	+	2081	209	3.10128852935
NM_011983	Homer2	chr7	-	10999	0	0.0
NM_011984	Homer3	chr8	+	2436	16	0.202819947347
NM_011985	Mmp23	chr4	-	1434	10	0.215337077989
NM_011986	Ncdn	chr4	-	3701	1728	14.4175883025
NM_011987	Pla2g10	chr16	-	1022	0	0.0
NM_011988	Slc27a3	chr3	-	2265	18	0.245398704505
NM_011989	Slc27a4	chr2	+	4008	2030	15.6399835521
NM_146772	Olfr1189	chr2	+	921	0	0.0
NM_001009951	BC088983	chr8	-	1399	280	6.18028188378
NM_001081556	Ano3	chr2	-	2304	0	0.0
NM_001081557	Camta1	chr4	-	8448	38	0.138898532833
NM_001109045	Aqp8	chr7	+	1483	0	0.0
NM_001037922	Gm6531	chr8	+	2397	11	0.141707428794
NM_001037923	Lekr1	chr3	+	2463	12	0.150447439628
NM_001037926	Gm13051	chr4	+	2833	109	1.1880860329
NM_001037927	Wdr93	chr7	+	2285	4	0.0540557321376
NM_001109043	Zfp185	chrX	+	3554	0	0.0
NM_001037928	Gm11992	chr11	+	2400	0	0.0
NM_001037929	Gm14092	chr2	-	1814	0	0.0
NM_019651	Ptpn9	chr9	+	4056	1636	12.4552749766
NM_011676	Unc119	chr11	+	1281	944	22.7557331089
NM_011677	Ung	chr5	+	1906	328	5.31396774954
NM_011674	Ugt8a	chr3	-	3599	0	0.0
NM_011675	Uck1	chr2	-	1951	1501	23.7569886276
NM_011672	Ufd1l	chr16	+	1996	1455	22.5097371298
NM_011673	Ugcg	chr4	+	3719	4343	36.0604895186
NM_011670	Uchl1	chr5	+	1147	7	0.188452797633
NM_011671	Ucp2	chr7	+	4133	22552	168.495235338
NM_001109040	Kif21a	chr15	-	6439	0	0.0
NM_011678	Usp4	chr9	+	3668	4080	34.3477903198
NR_027344	Trub2	chr2	-	2514	886	10.8826939409
NR_027343	Gorasp2	chr2	+	2484	2047	25.4468610328
NM_009239	Sp4	chr12	-	5770	2315	12.3891967274
NM_009238	Sox4	chr13	-	2953	406	4.24551670008
NM_001166138	Armc8	chr9	-	3629	664	5.65000819981
NM_009233	Sox1	chr8	+	4037	0	0.0
NM_009231	Sos1	chr17	-	8919	1546	5.35255689838
NM_009230	Soat1	chr1	-	4785	1718	11.0868758491
NM_009237	Sox3	chrX	-	2065	0	0.0
NM_009236	Sox18	chr2	-	1619	0	0.0
NM_009235	Sox15	chr11	+	1138	2	0.0542694850327
NM_009234	Sox11	chr12	-	8451	0	0.0
NM_001004061	Fam170a	chr18	+	1342	0	0.0
NM_001004062	Crtc1	chr8	-	5674	845	4.59870281127
NM_001004066	Zfp386	chr12	+	2065	1126	16.8378370186
NM_001163564	Naf1	chr8	+	2990	301	3.10858877326
NM_001163565	Ptpn5	chr7	-	3024	35	0.357399733606
NM_001163566	Crb2	chr2	+	6372	2	0.00969219616559
NM_001163567	Fam102b	chr3	-	5702	326	1.76546191804
NM_001163569	Kif9	chr9	+	3162	23	0.224612508103
NM_001177709	Arfgap1	chr2	+	2442	1316	16.6409531001
NM_001177708	Arfgap1	chr2	+	2448	1322	16.6758510998
NM_001177700	Ablim2	chr5	+	3447	71	0.636040883619
NM_001177703	Gal3st1	chr11	+	1751	1	0.0176352581288
NR_033241	Bmp1	chr14	-	4454	6	0.0415976699375
NM_001177705	Homez	chr14	-	5763	708	3.7936093327
NM_001177707	Arfgap1	chr2	+	2729	1415	16.011088982
NM_001177706	Arfgap1	chr2	+	2852	1444	15.6345591179
NM_001030274	Ndufs5	chr4	-	509	372	22.5680026678
NM_027715	Otud1	chr2	+	2529	446	5.44570355661
NM_027717	Dydc2	chr14	-	592	0	0.0
NM_027711	Iqgap2	chr13	-	5771	2131	11.402506864
NM_027712	Dlgap1	chr17	+	4287	0	0.0
NM_001256180	BC107364	chr3	-	1159	0	0.0
NM_026047	Rnf219	chr14	-	3456	764	6.82633491188
NM_026046	Zfp329	chr7	-	7933	1865	7.25954411627
NM_026045	Prpf18	chr2	-	3413	3283	29.7031536235
NM_026044	Wdr85	chr2	+	2952	595	6.22398560475
NM_026043	Rnpc3	chr3	-	2236	564	7.78888464165
NM_001142357	Alg12	chr15	-	2131	526	7.62202311279
NM_026041	Rrp15	chr1	-	1213	369	9.39363177819
NM_026040	Srfbp1	chr18	+	1463	838	17.6875491403
NM_001130179	Tnnt2	chr1	+	1148	2	0.0537967543268
NM_026048	Cinp	chr12	-	2029	272	4.13956612101
NM_001130178	Tnnt2	chr1	+	1152	2	0.0536099600409
NM_008548	Man1a	chr10	-	3889	5105	40.5345886606
NM_008549	Man2a1	chr17	+	6078	5846	29.7006587703
NM_008542	Smad6	chr9	-	2971	0	0.0
NM_001013816	Gm5622	chr14	+	1581	0	0.0
NM_008541	Smad5	chr13	+	6585	1851	8.67997763958
NM_008546	Mfap2	chr4	+	1080	0	0.0
NM_001013811	Fam169b	chr7	+	2819	2413	26.4320114017
NM_008545	Mageb3	chr2	-	2322	0	0.0
NM_010200	Fgf13	chrX	-	2493	590	7.30798588861
NM_176808	Mcfd2	chr17	-	2275	743	10.0849878588
NM_010202	Fgf4	chr7	+	3030	0	0.0
NM_001005331	Eif4g1	chr16	+	5396	10751	61.5240459434
NM_001033355	Zfp568	chr7	+	7176	381	1.63949657062
NM_010205	Fgf8	chr19	-	1199	0	0.0
NM_010206	Fgfr1	chr8	+	5008	6	0.0369960107631
NM_010207	Fgfr2	chr7	-	5198	2	0.0118812377774
NM_010208	Fgr	chr4	+	3342	496	4.58292972587
