gene_name	symbol	chrom	strand	len	reads	RPKM
NM_177327	Wwp1	chr4	-	5070	697	4.51413396234
NM_177326	Pak2	chr16	-	4099	8247	66.0644312701
NM_177325	Tsr1	chr11	+	3385	1337	12.9694738734
NM_177324	Sbf2	chr7	-	7163	7	0.03208874361
NM_177323	Rint1	chr5	+	3265	513	5.1592171059
NM_177322	Agtr1a	chr13	+	2284	0	0.0
NM_177321	Mia2	chr12	+	1628	0	0.0
NM_177320	Pik3r5	chr11	+	4363	4110	30.93187406
NM_177328	Grm7	chr6	+	4181	0	0.0
NM_001164244	Prpsap2	chr11	-	1718	868	16.5899925141
NM_001164242	Prpsap2	chr11	-	1771	894	16.575574204
NM_001164243	Prpsap2	chr11	-	1814	893	16.1645567599
NM_001164248	Tpm1	chr9	-	1210	319	8.6567512258
NM_001164249	Tpm1	chr9	-	1702	809	15.6076885527
NM_001167910	Mbtps1	chr8	-	4225	3647	28.3438391288
NM_001167913	Smok2b	chr17	+	1584	0	0.0
NM_001167914	Atxn3	chr12	-	1002	192	6.29191912344
NM_001008785	Kbtbd8	chr6	+	4700	325	2.27057121293
NM_001167918	D830031N03Rik	chr4	-	8311	69	0.272612291163
NM_001253803	Gm5480	chr16	+	369	0	0.0
NM_001161540	Islr2	chr9	-	3990	0	0.0
NM_001161541	Islr2	chr9	-	3881	0	0.0
NM_001164790	Scg3	chr9	-	2192	0	0.0
NM_001164791	B230120H23Rik	chr2	+	6689	9	0.0441805316683
NM_001164797	Hephl1	chr9	-	5261	0	0.0
NM_001161548	Tmem184a	chr5	-	2039	0	0.0
NM_001164798	Slc38a10	chr11	-	4589	4932	35.2902418454
NM_001164799	Slc38a10	chr11	-	4568	4931	35.4452898151
NM_001177890	Cacna1g	chr11	-	8082	0	0.0
NM_001177897	9830107B12Rik	chr17	-	3583	4	0.0366574969863
NM_001177896	9830107B12Rik	chr17	-	3730	4	0.0352128181506
NM_001177899	Skap1	chr11	+	2142	2969	45.5135127151
NM_001177898	Skap1	chr11	+	2033	2762	44.6103797246
NM_172919	Zfp846	chr9	+	2755	190	2.26454847762
NM_172918	Zfp317	chr9	+	4025	1646	13.4280691963
NM_172913	Tox3	chr8	-	3193	0	0.0
NM_172912	Abcc12	chr8	-	4511	0	0.0
NM_172911	D8Ertd82e	chr8	+	4780	1597	10.9705056113
NM_172910	Dlgap2	chr8	+	4509	0	0.0
NM_172916	Hydin	chr8	+	15783	0	0.0
NM_172914	Ccdc113	chr8	+	1271	0	0.0
NM_010587	Itsn1	chr16	+	13976	59	0.138617717702
NM_010586	Itpr2	chr6	-	8232	6128	24.4434790485
NM_010585	Itpr1	chr6	+	9877	1852	6.15694895393
NM_010584	Itln1	chr1	-	1139	0	0.0
NM_010583	Itk	chr11	-	4272	16186	124.410752353
NM_001011721	Olfr102	chr17	-	1027	0	0.0
NM_010581	Cd47	chr16	+	1914	3851	66.0664862675
NM_010580	Itgb5	chr16	+	3253	15	0.151410788159
NM_010589	Jak3	chr8	+	3934	8125	67.8170100456
NM_010588	Jag2	chr12	-	4054	32	0.259188577606
NR_033197	4933427E11Rik	chr15	+	1214	7	0.189334160196
NM_001013384	Podnl1	chr8	+	2080	1967	31.0520766367
NM_001013385	Grm4	chr17	-	2975	0	0.0
NM_001013386	Rasl10b	chr11	+	3481	3	0.0282987241529
NM_001013387	Zfp182	chrX	-	5920	1243	6.89444079161
NM_001195767	Gm6772	chr12	+	1949	0	0.0
NM_001013381	Rsad1	chr11	-	4151	110	0.870140886967
NM_001013382	Lrrc52	chr1	-	1137	0	0.0
NM_001013389	Mrs2	chr13	-	2035	741	11.9564821218
NM_011426	Siglec1	chr2	-	6387	0	0.0
NR_030526	Mir615	chr15	+	92	0	0.0
NM_011425	Sstr5	chr17	-	2733	0	0.0
NR_030524	Mir490	chr6	+	84	0	0.0
NR_030525	Mir676	chrX	+	89	0	0.0
NR_030529	Mir804	chr11	-	95	0	0.0
NM_001002786	Rab44	chr17	+	4105	0	0.0
NM_001002787	Ccin	chr4	+	2030	2	0.0323506925374
NM_023565	Cse1l	chr2	+	3604	1674	15.2517716973
NM_023564	Plscr3	chr11	+	2785	216	2.54670227357
NM_001081084	Cubn	chr2	-	11325	8	0.023195375135
NM_001081085	2010317E24Rik	chr2	+	3121	177	1.86221200506
NM_001081086	Ppig	chr2	+	6297	3667	19.1217150036
NM_001081087	Kbtbd10	chr2	+	2538	38	0.491633652942
NM_001081088	Lrp2	chr2	-	15467	0	0.0
NM_001081089	Gpat2	chr2	+	2628	12	0.149935858107
NM_011980	Zfp146	chr7	-	2030	934	15.107773415
NM_011981	Zfp260	chr7	+	3716	2608	23.0452543675
NM_011982	Homer1	chr13	+	2081	125	1.9723662257
NM_011983	Homer2	chr7	-	10999	0	0.0
NM_011984	Homer3	chr8	+	2436	31	0.417863111941
NM_011985	Mmp23	chr4	-	1434	13	0.297676002811
NM_011986	Ncdn	chr4	-	3701	1546	13.7163964395
NM_011987	Pla2g10	chr16	-	1022	0	0.0
NM_011988	Slc27a3	chr3	-	2265	17	0.246450860809
NM_011989	Slc27a4	chr2	+	4008	5334	43.699344537
NM_146772	Olfr1189	chr2	+	921	0	0.0
NM_001009951	BC088983	chr8	-	1399	286	6.71271089112
NM_001081556	Ano3	chr2	-	2304	0	0.0
NM_001081557	Camta1	chr4	-	8448	42	0.163246925056
NM_001109045	Aqp8	chr7	+	1483	0	0.0
NM_001037922	Gm6531	chr8	+	2397	11	0.15068647567
NM_001037923	Lekr1	chr3	+	2463	9	0.119985211664
NM_001037926	Gm13051	chr4	+	2833	73	0.846108211634
NM_001037927	Wdr93	chr7	+	2285	3	0.043110660296
NM_001109043	Zfp185	chrX	+	3554	0	0.0
NM_001037928	Gm11992	chr11	+	2400	11	0.150498117575
NM_001037929	Gm14092	chr2	-	1814	0	0.0
NM_019651	Ptpn9	chr9	+	4056	1884	15.2522029861
NM_011676	Unc119	chr11	+	1281	1575	40.372073269
NM_011677	Ung	chr5	+	1906	171	2.94593281755
NM_011674	Ugt8a	chr3	-	3599	0	0.0
NM_011675	Uck1	chr2	-	1951	1282	21.5764693236
NM_011672	Ufd1l	chr16	+	1996	1563	25.7127226566
NM_011673	Ugcg	chr4	+	3719	6688	59.0499739622
NM_011670	Uchl1	chr5	+	1147	39	1.11647965483
NM_011671	Ucp2	chr7	+	4133	23964	190.389735278
NM_001109040	Kif21a	chr15	-	6439	0	0.0
NM_011678	Usp4	chr9	+	3668	3474	31.0992640303
NR_027344	Trub2	chr2	-	2514	1148	14.994301495
NR_027343	Gorasp2	chr2	+	2484	1729	22.8556210178
NM_009239	Sp4	chr12	-	5770	3948	22.4673036655
NM_009238	Sox4	chr13	-	2953	7	0.077836664571
NM_001166138	Armc8	chr9	-	3629	629	5.69132388815
NM_009233	Sox1	chr8	+	4037	0	0.0
NM_009231	Sos1	chr17	-	8919	1346	4.95539776182
NM_009230	Soat1	chr1	-	4785	1789	12.2765976559
NM_009237	Sox3	chrX	-	2065	0	0.0
NM_009236	Sox18	chr2	-	1619	0	0.0
NM_009235	Sox15	chr11	+	1138	0	0.0
NM_009234	Sox11	chr12	-	8451	0	0.0
NM_001004061	Fam170a	chr18	+	1342	0	0.0
NM_001004062	Crtc1	chr8	-	5674	563	3.25813209324
NM_001004066	Zfp386	chr12	+	2065	751	11.9417920809
NM_001163564	Naf1	chr8	+	2990	166	1.82299939319
NM_001163565	Ptpn5	chr7	-	3024	189	2.05224705784
NM_001163566	Crb2	chr2	+	6372	0	0.0
NM_001163567	Fam102b	chr3	-	5702	756	4.35355671898
NM_001163569	Kif9	chr9	+	3162	8	0.0830764147387
NM_001177709	Arfgap1	chr2	+	2442	1341	18.031536803
NM_001177708	Arfgap1	chr2	+	2448	1345	18.0409953778
NM_001177700	Ablim2	chr5	+	3447	95	0.904965340272
NM_001177703	Gal3st1	chr11	+	1751	0	0.0
NR_033241	Bmp1	chr14	-	4454	1	0.00737223909418
NM_001177705	Homez	chr14	-	5763	466	2.65513691884
NM_001177707	Arfgap1	chr2	+	2729	1441	17.3384419808
NM_001177706	Arfgap1	chr2	+	2852	1456	16.7633756871
NM_001030274	Ndufs5	chr4	-	509	326	21.0304924434
NM_027715	Otud1	chr2	+	2529	245	3.18102351393
NM_027717	Dydc2	chr14	-	592	0	0.0
NM_027711	Iqgap2	chr13	-	5771	2236	12.7224381808
NM_027712	Dlgap1	chr17	+	4287	2	0.0153188490438
NM_001256180	BC107364	chr3	-	1159	0	0.0
NM_026047	Rnf219	chr14	-	3456	722	6.85982581371
NM_026046	Zfp329	chr7	-	7933	1609	6.65990775962
NM_026045	Prpf18	chr2	-	3413	3739	35.9723492494
NM_026044	Wdr85	chr2	+	2952	452	5.02772720945
NM_026043	Rnpc3	chr3	-	2236	506	7.43067628814
NM_001142357	Alg12	chr15	-	2131	488	7.51944862864
NM_026041	Rrp15	chr1	-	1213	175	4.73725619287
NM_026040	Srfbp1	chr18	+	1463	437	9.80814178293
NM_001130179	Tnnt2	chr1	+	1148	0	0.0
NM_026048	Cinp	chr12	-	2029	244	3.9487296766
NM_001130178	Tnnt2	chr1	+	1152	0	0.0
NM_008548	Man1a	chr10	-	3889	4435	37.4459890009
NM_008549	Man2a1	chr17	+	6078	5084	27.4659402226
NM_008542	Smad6	chr9	-	2971	0	0.0
NM_001013816	Gm5622	chr14	+	1581	0	0.0
NM_008541	Smad5	chr13	+	6585	1181	5.88902967425
NM_008546	Mfap2	chr4	+	1080	0	0.0
NM_001013811	Fam169b	chr7	+	2819	2108	24.5541641599
NM_008545	Mageb3	chr2	-	2322	1	0.0141412372633
NM_010200	Fgf13	chrX	-	2493	521	6.86222682477
NM_176808	Mcfd2	chr17	-	2275	490	7.07235909164
NM_010202	Fgf4	chr7	+	3030	0	0.0
NM_001005331	Eif4g1	chr16	+	5396	9894	60.2073606828
NM_001033355	Zfp568	chr7	+	7176	402	1.83947227927
NM_010205	Fgf8	chr19	-	1199	0	0.0
NM_010206	Fgfr1	chr8	+	5008	0	0.0
NM_010207	Fgfr2	chr7	-	5198	0	0.0
NM_010208	Fgr	chr4	+	3342	556	5.46283358066
NM_010209	Fh1	chr1	-	1632	810	16.2972560476
NM_026295	Ctdp1	chr18	-	3685	1366	12.1720248836
NM_176807	Folr4	chr9	-	1239	467	12.376424549
NM_001085518	Gm14085	chr2	+	3740	1730	15.1888231447
NM_001130177	Tnnt2	chr1	+	1161	0	0.0
NM_001130176	Tnnt2	chr1	+	1109	0	0.0
NM_001167832	Zfp764	chr7	-	2471	272	3.61447964214
NM_001081011	Srgap2	chr1	-	8040	2411	9.84670180389
NM_009004	Kif20a	chr18	+	3473	708	6.69388271558
NM_001167831	AI846148	chr19	-	1594	350	7.20990183432
NM_001081017	Unc79	chr12	+	8870	10	0.0370191126555
NM_033524	Spred1	chr2	+	2997	265	2.90341258767
NM_001081016	Zc3h7b	chr15	+	5958	3595	19.8128987524
NM_033525	Npnt	chr3	-	3720	19	0.167710512254
NM_033522	Ferd3l	chr12	+	885	0	0.0
NM_001081014	Dennd4c	chr4	+	5648	2121	12.3309235402
NM_009001	Rab3a	chr8	+	1446	175	3.97392238033
NM_009003	Rab4a	chr8	+	1412	12	0.279059090018
NM_001201470	Papss2	chr19	+	3599	0	0.0
NM_054082	Mta3	chr17	+	2115	3608	56.0151858889
NM_182930	Plekha6	chr1	+	7397	26	0.115416354747
NM_025923	Fancl	chr11	+	1775	284	5.25375246807
NM_025922	Itpa	chr2	+	1159	683	19.3502638896
NM_025924	Upf3a	chr8	+	1401	847	19.8515718257
NM_054084	Calcb	chr7	+	962	178	6.07567528143
NM_001146329	Sbk2	chr7	-	1139	6	0.172972535165
NM_001146328	Rbm46	chr3	-	1789	0	0.0
NM_001146325	Tigit	chr16	-	963	9399	320.48299226
NM_001146324	Hps3	chr3	-	2335	633	8.90156668172
NM_020052	Scube2	chr7	-	3562	1	0.00921840340412
NM_020050	Tmem9b	chr7	-	1685	2424	47.2370029029
NM_020051	Ascl3	chr7	-	706	4	0.186039393345
NM_144899	Adamtsl4	chr3	-	3856	15	0.127733219368
NM_144898	Msto1	chr3	-	1825	359	6.45923676725
NM_144893	Slc35c2	chr2	-	2009	1186	19.3844898803
NM_144892	Ncoa5	chr2	-	3091	1338	14.2136865138
NM_144891	Gdap1l1	chr2	+	2580	0	0.0
NM_144890	Bpifb5	chr2	+	1637	0	0.0
NM_144897	Apoa1bp	chr3	-	905	640	23.2210053837
NM_144896	Pet112l	chr3	+	2307	148	2.10651106761
NM_144895	Spg20	chr3	+	3780	934	8.113433871
NM_144894	Zgpat	chr2	+	2289	2024	29.0344992229
NM_001136055	Cd82	chr2	-	1683	15365	299.776837017
NR_024068	Snhg7	chr2	-	742	51	2.2569185973
NR_024069	2010107H07Rik	chr14	-	403	168	13.6884369516
NR_024067	Snhg6	chr1	-	407	233	18.7979779647
