gene_name	symbol	chrom	strand	len	reads	RPKM
NM_177327	Wwp1	chr4	-	5070	320	6.12334721566
NM_177326	Pak2	chr16	-	4099	2881	68.1886680246
NM_177325	Tsr1	chr11	+	3385	347	9.94529498065
NM_177324	Sbf2	chr7	-	7163	3	0.0406324650767
NM_177323	Rint1	chr5	+	3265	163	4.84341057857
NM_177322	Agtr1a	chr13	+	2284	0	0.0
NM_177321	Mia2	chr12	+	1628	0	0.0
NM_177320	Pik3r5	chr11	+	4363	1385	30.7972137728
NM_177328	Grm7	chr6	+	4181	0	0.0
NM_001164244	Prpsap2	chr11	-	1718	143	8.07532007572
NM_001164242	Prpsap2	chr11	-	1771	155	8.49102274391
NM_001164243	Prpsap2	chr11	-	1814	145	7.75492472711
NM_001164248	Tpm1	chr9	-	1210	228	18.2808482629
NM_001164249	Tpm1	chr9	-	1702	371	21.1476065148
NM_001167910	Mbtps1	chr8	-	4225	889	20.4137087802
NM_001167913	Smok2b	chr17	+	1584	0	0.0
NM_001167914	Atxn3	chr12	-	1002	45	4.35704112791
NM_001008785	Kbtbd8	chr6	+	4700	85	1.75455883151
NM_001167918	D830031N03Rik	chr4	-	8311	26	0.303505756666
NM_001253803	Gm5480	chr16	+	369	0	0.0
NM_001161540	Islr2	chr9	-	3990	0	0.0
NM_001161541	Islr2	chr9	-	3881	0	0.0
NM_001164790	Scg3	chr9	-	2192	0	0.0
NM_001164791	B230120H23Rik	chr2	+	6689	1	0.0145039292044
NM_001164797	Hephl1	chr9	-	5261	0	0.0
NM_001161548	Tmem184a	chr5	-	2039	1	0.047580570107
NM_001164798	Slc38a10	chr11	-	4589	984	20.8029012702
NM_001164799	Slc38a10	chr11	-	4568	984	20.8985363242
NM_001177890	Cacna1g	chr11	-	8082	0	0.0
NM_001177897	9830107B12Rik	chr17	-	3583	1	0.0270769697036
NM_001177896	9830107B12Rik	chr17	-	3730	1	0.0260098612461
NM_001177899	Skap1	chr11	+	2142	787	35.6452884158
NM_001177898	Skap1	chr11	+	2033	648	30.9232046367
NM_172919	Zfp846	chr9	+	2755	82	2.88761385145
NM_172918	Zfp317	chr9	+	4025	513	12.3651203468
NM_172913	Tox3	chr8	-	3193	0	0.0
NM_172912	Abcc12	chr8	-	4511	0	0.0
NM_172911	D8Ertd82e	chr8	+	4780	379	7.69233484264
NM_172910	Dlgap2	chr8	+	4509	0	0.0
NM_172916	Hydin	chr8	+	15783	0	0.0
NM_172914	Ccdc113	chr8	+	1271	0	0.0
NM_010587	Itsn1	chr16	+	13976	35	0.242958456331
NM_010586	Itpr2	chr6	-	8232	1495	17.6190585228
NM_010585	Itpr1	chr6	+	9877	441	4.33172026522
NM_010584	Itln1	chr1	-	1139	0	0.0
NM_010583	Itk	chr11	-	4272	3783	85.9116310864
NM_001011721	Olfr102	chr17	-	1027	0	0.0
NM_010581	Cd47	chr16	+	1914	1319	66.8574378522
NM_010580	Itgb5	chr16	+	3253	3	0.0894713640776
NM_010589	Jak3	chr8	+	3934	1260	31.0729908197
NM_010588	Jag2	chr12	-	4054	2	0.0478622508377
NR_033197	4933427E11Rik	chr15	+	1214	1	0.0799149773049
NM_001013384	Podnl1	chr8	+	2080	200	9.32853677386
NM_001013385	Grm4	chr17	-	2975	0	0.0
NM_001013386	Rasl10b	chr11	+	3481	0	0.0
NM_001013387	Zfp182	chrX	-	5920	513	8.40702861417
NM_001195767	Gm6772	chr12	+	1949	0	0.0
NM_001013381	Rsad1	chr11	-	4151	18	0.420694310784
NM_001013382	Lrrc52	chr1	-	1137	0	0.0
NM_001013389	Mrs2	chr13	-	2035	177	8.43831473873
NM_011426	Siglec1	chr2	-	6387	0	0.0
NR_030526	Mir615	chr15	+	92	0	0.0
NM_011425	Sstr5	chr17	-	2733	0	0.0
NR_030524	Mir490	chr6	+	84	0	0.0
NR_030525	Mir676	chrX	+	89	0	0.0
NR_030529	Mir804	chr11	-	95	0	0.0
NM_001002786	Rab44	chr17	+	4105	0	0.0
NM_001002787	Ccin	chr4	+	2030	1	0.0477915184473
NM_023565	Cse1l	chr2	+	3604	771	20.7547001297
NM_023564	Plscr3	chr11	+	2785	54	1.88111535088
NM_001081084	Cubn	chr2	-	11325	6	0.0513996198401
NM_001081085	2010317E24Rik	chr2	+	3121	71	2.20704631651
NM_001081086	Ppig	chr2	+	6297	3038	46.8059369664
NM_001081087	Kbtbd10	chr2	+	2538	3	0.114677047811
NM_001081088	Lrp2	chr2	-	15467	0	0.0
NM_001081089	Gpat2	chr2	+	2628	0	0.0
NM_011980	Zfp146	chr7	-	2030	327	15.6278265323
NM_011981	Zfp260	chr7	+	3716	802	20.9384982571
NM_011982	Homer1	chr13	+	2081	38	1.77157027056
NM_011983	Homer2	chr7	-	10999	0	0.0
NM_011984	Homer3	chr8	+	2436	10	0.398262653728
