gene_name	symbol	chrom	strand	len	reads	RPKM
NM_177327	Wwp1	chr4	-	5070	1011	5.69557664943
NM_177326	Pak2	chr16	-	4099	8542	59.5218133102
NM_177325	Tsr1	chr11	+	3385	1866	15.7451742388
NM_177324	Sbf2	chr7	-	7163	29	0.115637195756
NM_177323	Rint1	chr5	+	3265	648	5.66873721406
NM_177322	Agtr1a	chr13	+	2284	0	0.0
NM_177321	Mia2	chr12	+	1628	0	0.0
NM_177320	Pik3r5	chr11	+	4363	3441	22.5265126925
NM_177328	Grm7	chr6	+	4181	0	0.0
NM_001164244	Prpsap2	chr11	-	1718	1102	18.3211588251
NM_001164242	Prpsap2	chr11	-	1771	1135	18.3050873203
NM_001164243	Prpsap2	chr11	-	1814	1128	17.7609553102
NM_001164248	Tpm1	chr9	-	1210	322	7.60089977459
NM_001164249	Tpm1	chr9	-	1702	846	14.1972853699
NM_001167910	Mbtps1	chr8	-	4225	4653	31.4558078929
NM_001167913	Smok2b	chr17	+	1584	0	0.0
NM_001167914	Atxn3	chr12	-	1002	318	9.06470975833
NM_001008785	Kbtbd8	chr6	+	4700	409	2.48553540997
NM_001167918	D830031N03Rik	chr4	-	8311	334	1.14785674112
NM_001253803	Gm5480	chr16	+	369	0	0.0
NM_001161540	Islr2	chr9	-	3990	2	0.0143169861412
NM_001161541	Islr2	chr9	-	3881	2	0.0147190864992
NM_001164790	Scg3	chr9	-	2192	0	0.0
NM_001164791	B230120H23Rik	chr2	+	6689	13	0.0555106945093
NM_001164797	Hephl1	chr9	-	5261	0	0.0
NM_001161548	Tmem184a	chr5	-	2039	0	0.0
NM_001164798	Slc38a10	chr11	-	4589	4064	25.2947357153
NM_001164799	Slc38a10	chr11	-	4568	4067	25.4297787565
NM_001177890	Cacna1g	chr11	-	8082	0	0.0
NM_001177897	9830107B12Rik	chr17	-	3583	10	0.0797164034377
NM_001177896	9830107B12Rik	chr17	-	3730	10	0.076574765018
NM_001177899	Skap1	chr11	+	2142	5464	72.8594231979
NM_001177898	Skap1	chr11	+	2033	5046	70.8931660486
NM_172919	Zfp846	chr9	+	2755	280	2.90289236243
NM_172918	Zfp317	chr9	+	4025	2517	17.8612494321
NM_172913	Tox3	chr8	-	3193	0	0.0
NM_172912	Abcc12	chr8	-	4511	0	0.0
NM_172911	D8Ertd82e	chr8	+	4780	926	5.53321562504
NM_172910	Dlgap2	chr8	+	4509	0	0.0
NM_172916	Hydin	chr8	+	15783	0	0.0
NM_172914	Ccdc113	chr8	+	1271	0	0.0
NM_010587	Itsn1	chr16	+	13976	48	0.098096350378
NM_010586	Itpr2	chr6	-	8232	7421	25.7484786853
NM_010585	Itpr1	chr6	+	9877	4976	14.3896364749
NM_010584	Itln1	chr1	-	1139	0	0.0
NM_010583	Itk	chr11	-	4272	15294	102.254951348
NM_001011721	Olfr102	chr17	-	1027	0	0.0
NM_010581	Cd47	chr16	+	1914	4041	60.3033475906
NM_010580	Itgb5	chr16	+	3253	60	0.526819317892
NM_010589	Jak3	chr8	+	3934	6253	45.399239479
NM_010588	Jag2	chr12	-	4054	43	0.302955761254
NR_033197	4933427E11Rik	chr15	+	1214	1	0.0235275019372
NM_001013384	Podnl1	chr8	+	2080	738	10.1341547431
NM_001013385	Grm4	chr17	-	2975	0	0.0
NM_001013386	Rasl10b	chr11	+	3481	0	0.0
NM_001013387	Zfp182	chrX	-	5920	1390	6.70637135454
NM_001195767	Gm6772	chr12	+	1949	0	0.0
NM_001013381	Rsad1	chr11	-	4151	199	1.36928814334
NM_001013382	Lrrc52	chr1	-	1137	1	0.0251208332029
NM_001013389	Mrs2	chr13	-	2035	756	10.6108918122
NM_011426	Siglec1	chr2	-	6387	0	0.0
NR_030526	Mir615	chr15	+	92	0	0.0
NM_011425	Sstr5	chr17	-	2733	0	0.0
NR_030524	Mir490	chr6	+	84	0	0.0
NR_030525	Mir676	chrX	+	89	0	0.0
NR_030529	Mir804	chr11	-	95	0	0.0
NM_001002786	Rab44	chr17	+	4105	0	0.0
NM_001002787	Ccin	chr4	+	2030	8	0.112561132421
NM_023565	Cse1l	chr2	+	3604	2275	18.029808886
NM_023564	Plscr3	chr11	+	2785	427	4.37922420079
NM_001081084	Cubn	chr2	-	11325	4	0.0100882604333
NM_001081085	2010317E24Rik	chr2	+	3121	57	0.52164565173
NM_001081086	Ppig	chr2	+	6297	4060	18.4156412018
NM_001081087	Kbtbd10	chr2	+	2538	50	0.562694786283
NM_001081088	Lrp2	chr2	-	15467	0	0.0
NM_001081089	Gpat2	chr2	+	2628	3	0.0326054650134
NM_011980	Zfp146	chr7	-	2030	1485	20.8941602056
NM_011981	Zfp260	chr7	+	3716	3148	24.1965541936
NM_011982	Homer1	chr13	+	2081	211	2.8960421582
