gene_name	symbol	chrom	strand	len	reads	RPKM
NM_177327	Wwp1	chr4	-	5070	866	4.74958167296
NM_177326	Pak2	chr16	-	4099	9536	64.6894936141
NM_177325	Tsr1	chr11	+	3385	1876	15.4106014367
NM_177324	Sbf2	chr7	-	7163	11	0.0427015029926
NM_177323	Rint1	chr5	+	3265	672	5.72310237809
NM_177322	Agtr1a	chr13	+	2284	1	0.0121744493686
NM_177321	Mia2	chr12	+	1628	0	0.0
NM_177320	Pik3r5	chr11	+	4363	4798	30.5788013827
NM_177328	Grm7	chr6	+	4181	0	0.0
NM_001164244	Prpsap2	chr11	-	1718	798	12.9159144363
NM_001164242	Prpsap2	chr11	-	1771	820	12.8748067382
NM_001164243	Prpsap2	chr11	-	1814	808	12.3856700249
NM_001164248	Tpm1	chr9	-	1210	423	9.72076455981
NM_001164249	Tpm1	chr9	-	1702	1020	16.6642604025
NM_001167910	Mbtps1	chr8	-	4225	3981	26.2005791779
NM_001167913	Smok2b	chr17	+	1584	0	0.0
NM_001167914	Atxn3	chr12	-	1002	254	7.04873888113
NM_001008785	Kbtbd8	chr6	+	4700	343	2.02927866569
NM_001167918	D830031N03Rik	chr4	-	8311	70	0.234201776567
NM_001253803	Gm5480	chr16	+	369	0	0.0
NM_001161540	Islr2	chr9	-	3990	1	0.00696903317239
NM_001161541	Islr2	chr9	-	3881	1	0.0071647622669
NM_001164790	Scg3	chr9	-	2192	0	0.0
NM_001164791	B230120H23Rik	chr2	+	6689	15	0.0623556040316
NM_001164797	Hephl1	chr9	-	5261	0	0.0
NM_001161548	Tmem184a	chr5	-	2039	0	0.0
NM_001164798	Slc38a10	chr11	-	4589	5463	33.1023304861
NM_001164799	Slc38a10	chr11	-	4568	5459	33.2301595515
NM_001177890	Cacna1g	chr11	-	8082	0	0.0
NM_001177897	9830107B12Rik	chr17	-	3583	6	0.0465639559439
NM_001177896	9830107B12Rik	chr17	-	3730	6	0.0447288617016
NM_001177899	Skap1	chr11	+	2142	4526	58.7544155516
NM_001177898	Skap1	chr11	+	2033	4161	56.912251181
NM_172919	Zfp846	chr9	+	2755	190	1.91768567985
NM_172918	Zfp317	chr9	+	4025	1844	12.739150238
NM_172913	Tox3	chr8	-	3193	0	0.0
NM_172912	Abcc12	chr8	-	4511	1	0.00616414151138
NM_172911	D8Ertd82e	chr8	+	4780	1631	9.48793043633
NM_172910	Dlgap2	chr8	+	4509	0	0.0
